Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","660","Anguilla","2009","2009","23014","Food price inflation","7005","May","%","6.572312","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2010","2010","23014","Food price inflation","7005","May","%","1.67639","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2011","2011","23014","Food price inflation","7005","May","%","3.668456","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2012","2012","23014","Food price inflation","7005","May","%","4.962219","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2013","2013","23014","Food price inflation","7005","May","%","0.903512","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2014","2014","23014","Food price inflation","7005","May","%","2.840403","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2015","2015","23014","Food price inflation","7005","May","%","-0.854452","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2016","2016","23014","Food price inflation","7005","May","%","-0.83684","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2017","2017","23014","Food price inflation","7005","May","%","1.374062","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2018","2018","23014","Food price inflation","7005","May","%","-0.091589","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2019","2019","23014","Food price inflation","7005","May","%","3.85912","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2020","2020","23014","Food price inflation","7005","May","%","1.221491","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2021","2021","23014","Food price inflation","7005","May","%","0.562588","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2001","2001","23014","Food price inflation","7006","June","%","4.387559","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2002","2002","23014","Food price inflation","7006","June","%","1.768173","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2003","2003","23014","Food price inflation","7006","June","%","-4.72973","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2004","2004","23014","Food price inflation","7006","June","%","5.369807","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2005","2005","23014","Food price inflation","7006","June","%","2.230769","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2006","2006","23014","Food price inflation","7006","June","%","5.633935","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2007","2007","23014","Food price inflation","7006","June","%","8.04915","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2008","2008","23014","Food price inflation","7006","June","%","15.154512","Fc","Calculated data",""
